IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,TGO,Togo,Year,2024,true,,,,,,,,,,,,,130,,,,,,130,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,LBR,Liberia,Year,2024,true,,,,,,,,,,,,,14,,,,,,14,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2024,true,,,,,,,,,,,,,1449,,,,,,1449,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2024,true,,,,,,,,,,,,,15615,,,,,,15 615,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2024,true,,,,,,,,,,,,,1566,,,,,,1566,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,BWA,Botswana,Year,2024,true,,,,,,,,,,,,,160,,,,,,160,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,MLI,Mali,Year,2024,true,,,,,,,,,,,,,163,,,,,,163,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,COG,Congo,Year,2024,true,,,,,,,,,,,,,1751,,,,,,1751,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,NAM,Namibia,Year,2024,true,,,,,,,,,,,,,180,,,,,,180,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,KEN,Kenya,Year,2024,true,,,,,,,,,,,,,1854,,,,,,1854,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2024,true,,,,,,,,,,,,,2083,,,,,,2083,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,MWI,Malawi,Year,2024,true,,,,,,,,,,,,,224,,,,,,224,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,LSO,Lesotho,Year,2024,true,,,,,,,,,,,,,230,,,,,,230,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,AGO,Angola,Year,2024,true,,,,,,,,,,,,,2310,,,,,,2310,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2024,true,,,,,,,,,,,,,2701,,,,,,2701,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2024,true,,,,,,,,,,,,,297,,,,,,297,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
HWF_0019,Medical and Pathology Laboratory scientists  (number),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2024,true,,,,,,,,,,,,,2984,,,,,,2984,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-23T05:00:00.000Z
